# SPDX-License-Identifier: CC-BY-4.0
# partition	bytes	sha256-before-selector-update	post-state
Preloader	524288	8c093114d85ebfae8f9c8ffc18a5605a5580e9c3e69e36589d0872def5bccafb	unchanged
ATF	262144	301f9fe01988530e4eb109d20f823cf3088beb899183ee4c7a02821da3c974ff	unchanged
Bootloader	524288	fb29a8c89d5bb2ece2afe2b2d2b67a4551985227ced6fb6f4a16b01f627cbb17	unchanged
Config	524288	3024fd44aefea4483fe2b652932f75f587fb31f21f2fa75e8dbb20e734b3ad9a	unchanged
factory	262144	25b59e00ba0e854e92f9cf0e3e8ff556155b27d16046bf3455a25ef0d1414be9	unchanged
image1-fit	6291456	63df3317df3063b8018a022f12ca346bd979ec864d89a53435885d51d9c4c46710	unchanged
image1-ubi	54525952	cb40d8e541e47b3e4733181aa9dea900afb82219342cb15ac0f50ebd9bcb5094	unchanged
image2-fit	6291456	d755f019fbe3cdb764b4e326488459b75046e5f249648cc0d59f63647c19976c	unchanged
image2-ubi	54525952	20c2526f6dfa44da4646f57ad15ed8016aae49b28ccc4a7502d34ca91804670e	unchanged
glbcfg	2097152	b00b5adf1216280433c2bb38d13f6553c41e03937360d0742e4a0b7111385049	unchanged
board_data	2097152	e3dbe611490b87d5e79740d683907746a5b4c4b05b4d3e24abde9563bb5d624e	unchanged
selector-before	6291456	d167516d8725dfdc92f506da2bb33ab7356d6a9b6dc892f84dab87c15b3721bd	replaced
selector-after	6291456	4b0197a458749b772554929867c472d2f3eeb887438bd8a0246f38b87f28348f	verified
